gene_name,public_name,N2_specific_read_count, CB4856_specific_read_count
Y74C9A.3,Y74C9A.3,12,10
Y74C9A.2,nlp-40,51,52
Y74C9A.4,Y74C9A.4,21,29
Y74C9A.5,sesn-1,1,0
Y74C9A.1,Y74C9A.1,0,0
Y48G1C.12,Y48G1C.12,3,5
Y48G1C.4,pgs-1,27,27
Y48G1C.5,Y48G1C.5,3,4
Y48G1C.2,csk-1,34,39
Y48G1C.10,Y48G1C.10,5,7
Y48G1C.6,Y48G1C.6,3,3
Y48G1C.11,Y48G1C.11,9,11
Y48G1C.9,Y48G1C.9,1,0
Y48G1C.1,Y48G1C.1,1,1
Y48G1C.7,Y48G1C.7,0,0
Y48G1C.8,Y48G1C.8,18,26
F53G12.1,rab-11.1,292,255
F53G12.8,F53G12.8,0,0
F53G12.7,col-45,0,0
F53G12.6,spe-8,7,8
F53G12.5,mex-3,249,276
F53G12.4,F53G12.4,1,0
F53G12.3,duox-2,0,0
F56C11.1,bli-3,5,3
F56C11.2,ptr-11,2,5
F56C11.6,F56C11.6,3,3
F56C11.5,F56C11.5,13,4
F56C11.4,F56C11.4,2,4
K10E9.1,K10E9.1,9,12
Y48G1BL.2,atm-1,3,2
Y48G1BL.7,Y48G1BL.7,0,0
Y48G1BL.1,Y48G1BL.1,3,7
Y48G1BL.5,Y48G1BL.5,0,0
Y48G1BM.6,Y48G1BM.6,2,3
Y48G1BM.7,Y48G1BM.7,0,0
Y48G1BM.8,Y48G1BM.8,0,0
Y48G1BM.1,Y48G1BM.1,4,4
Y48G1BM.9,Y48G1BM.9,0,1
Y48G1BR.1,Y48G1BR.1,7,6
C53D5.3,C53D5.3,1,0
C53D5.2,C53D5.2,1,0
C53D5.4,ztf-3,0,0
C53D5.1,C53D5.1,10,9
C53D5.5,C53D5.5,10,10
Y48G1A.5,xpo-2,0,0
Y48G1A.4,Y48G1A.4,15,20
Y48G1A.3,daf-25,7,11
Y48G1A.6,mbtr-1,8,7
Y48G1A.2,Y48G1A.2,29,28
Y48G1A.1,Y48G1A.1,10,6
R119.1,R119.1,9,22
R119.7,rnp-8,88,69
R119.2,R119.2,17,15
R119.3,R119.3,24,16
R119.4,pqn-59,178,196
R119.6,taf-4,0,0
R119.5,R119.5,11,9
Y50C1A.1,Y50C1A.1,21,24
Y50C1A.2,Y50C1A.2,0,0
C07F11.2,C07F11.2,0,1
C07F11.1,tol-1,9,6
W04C9.4,W04C9.4,20,18
W04C9.5,W04C9.5,0,0
W04C9.3,cutl-13,0,0
W04C9.6,W04C9.6,1,0
W04C9.2,W04C9.2,0,0
W04C9.1,haf-4,1,1
Y65B4BL.3,Y65B4BL.3,6,4
Y65B4BL.4,Y65B4BL.4,0,0
Y65B4BL.2,deps-1,91,108
Y65B4BL.7,Y65B4BL.7,0,0
Y65B4BL.5,acs-13,163,190
Y65B4BL.6,Y65B4BL.6,0,0
Y65B4BL.1,Y65B4BL.1,1,1
Y65B4BR.8,Y65B4BR.8,12,15
Y65B4BR.5,Y65B4BR.5,280,277
Y65B4BR.4,wwp-1,71,51
Y65B4BR.3,ptr-21,21,37
Y65B4BR.2,lpr-1,0,0
Y65B4BR.1,Y65B4BR.1,0,0
Y65B4BR.9,ceh-9,0,0
Y65B4BR.6,grl-16,0,0
F56A6.2,hum-7,5,2
F56A6.4,F56A6.4,44,40
F56A6.1,sago-2,3,22
Y65B4A.4,Y65B4A.4,0,1
Y65B4A.6,Y65B4A.6,46,47
Y65B4A.3,vps-20,56,50
Y65B4A.2,Y65B4A.2,0,1
Y65B4A.7,Y65B4A.7,3,7
Y65B4A.1,Y65B4A.1,20,20
Y65B4A.8,Y65B4A.8,24,29
Y65B4A.9,Y65B4A.9,9,2
Y18H1A.14,Y18H1A.14,0,0
Y18H1A.11,Y18H1A.11,2,6
Y18H1A.10,Y18H1A.10,11,12
Y18H1A.1,Y18H1A.1,11,7
Y18H1A.4,Y18H1A.4,0,0
Y18H1A.2,Y18H1A.2,16,17
Y18H1A.3,Y18H1A.3,17,6
Y18H1A.7,Y18H1A.7,0,0
Y18H1A.6,pif-1,1,2
Y18H1A.15,Y18H1A.15,3,1
Y18H1A.13,col-46,0,0
Y18H1A.12,col-47,0,0
Y18H1A.9,Y18H1A.9,0,0
Y18H1A.8,Y18H1A.8,18,20
T06A4.2,mps-3,0,0
T06A4.3,T06A4.3,0,0
T06A4.1,T06A4.1,0,0
T06A4.4,T06A4.4,0,0
T06A4.7,T06A4.7,0,0
Y73A3A.1,Y73A3A.1,0,0
ZC123.3,zfh-2,2,1
ZC123.10,ZC123.10,0,0
ZC123.5,ZC123.5,0,0
ZC123.1,ZC123.1,1,1
ZC123.4,ZC123.4,1,5
